Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;Valor m2;Tipo Agregado
Apartamento;Copacabana;2;0;1;45;1600.0;620.0;0.0;35.55555555555556;Apartamento
Apartamento;Barra da Tijuca;3;2;1;201;9500.0;2300.0;13500.0;47.2636815920398;Apartamento
Apartamento;Centro;1;0;1;38;1150.0;400.0;25.0;30.26315789473684;Apartamento
Apartamento;Leme;3;1;0;200;8000.0;2300.0;510.0;40.0;Apartamento
Apartamento;Barra da Tijuca;3;2;3;89;4500.0;1200.0;211.0;50.561797752808985;Apartamento
Apartamento;Ipanema;2;2;1;130;8000.0;2000.0;660.0;61.53846153846154;Apartamento
Apartamento;Barra da Tijuca;2;1;1;69;2500.0;940.0;800.0;36.231884057971016;Apartamento
Apartamento;Ipanema;4;2;1;200;9500.0;3600.0;1500.0;47.5;Apartamento
Apartamento;Recreio dos Bandeirantes;1;1;1;45;1500.0;1200.0;440.0;33.333333333333336;Apartamento
Apartamento;Botafogo;1;1;0;65;2200.0;679.0;27.0;33.84615384615385;Apartamento
Apartamento;Méier;3;0;0;60;1300.0;450.0;0.0;21.666666666666668;Apartamento
Apartamento;Barra da Tijuca;2;2;1;75;1400.0;800.0;100.0;18.666666666666668;Apartamento
Apartamento;Leblon;3;1;2;155;7200.0;1515.0;538.0;46.45161290322581;Apartamento
Apartamento;Tijuca;2;1;1;70;1600.0;740.0;0.0;22.857142857142858;Apartamento
Apartamento;Leblon;2;2;1;65;5000.0;1950.0;300.0;76.92307692307692;Apartamento
Apartamento;Tijuca;3;2;1;150;2000.0;1700.0;210.0;13.333333333333334;Apartamento
Apartamento;Lagoa;3;2;3;125;4800.0;1600.0;460.0;38.4;Apartamento
Apartamento;Leblon;2;0;1;71;6700.0;2070.0;0.0;94.3661971830986;Apartamento
Apartamento;Anil;2;1;0;46;1100.0;430.0;12.0;23.91304347826087;Apartamento
Apartamento;Freguesia (Jacarepaguá);2;1;1;70;1300.0;720.0;85.0;18.571428571428573;Apartamento
Apartamento;Copacabana;1;0;1;39;1800.0;600.0;0.0;46.15384615384615;Apartamento
Apartamento;Santa Teresa;1;0;0;21;800.0;312.0;15.0;38.095238095238095;Apartamento
Apartamento;Vila Isabel;3;1;0;95;1250.0;650.0;60.0;13.157894736842104;Apartamento
Apartamento;Copacabana;1;0;0;36;2200.0;590.0;0.0;61.11111111111112;Apartamento
Apartamento;Barra da Tijuca;2;1;1;67;2000.0;1300.0;119.0;29.85074626865672;Apartamento
Apartamento;Copacabana;3;2;1;190;7000.0;2000.0;639.0;36.8421052631579;Apartamento
Apartamento;Andaraí;3;0;0;64;1300.0;310.0;20.0;20.3125;Apartamento
Apartamento;Ipanema;3;0;0;90;3500.0;998.0;95.0;38.888888888888886;Apartamento
Apartamento;Copacabana;3;1;0;90;3800.0;900.0;230.0;42.22222222222222;Apartamento
Apartamento;Recreio dos Bandeirantes;3;1;1;82;2000.0;989.0;1313.0;24.390243902439025;Apartamento
Apartamento;Curicica;2;1;1;58;1350.0;590.0;560.0;23.27586206896552;Apartamento
Apartamento;São Conrado;4;3;1;260;8500.0;3650.0;1170.0;32.69230769230769;Apartamento
Apartamento;Camorim;2;1;1;51;1200.0;550.0;650.0;23.529411764705884;Apartamento
Apartamento;Lagoa;3;2;1;162;5500.0;1500.0;627.0;33.95061728395062;Apartamento
Apartamento;Tijuca;2;1;1;85;1600.0;960.0;90.0;18.823529411764707;Apartamento
Apartamento;Ipanema;1;0;0;50;2100.0;630.0;0.0;42.0;Apartamento
Apartamento;Cachambi;2;1;0;55;1200.0;364.0;0.0;21.818181818181817;Apartamento
Apartamento;Méier;2;1;0;77;1000.0;925.0;0.0;12.987012987012989;Apartamento
Apartamento;Barra da Tijuca;1;1;1;69;1900.0;1007.0;159.0;27.536231884057973;Apartamento
Apartamento;Maracanã;2;1;1;85;2500.0;492.0;0.0;29.41176470588235;Apartamento
Apartamento;Tijuca;3;1;1;80;3000.0;967.0;184.0;37.5;Apartamento
Apartamento;Barra da Tijuca;2;1;1;70;1150.0;1260.0;160.0;16.428571428571427;Apartamento
Apartamento;Leblon;2;1;1;90;3500.0;1150.0;3300.0;38.888888888888886;Apartamento
Apartamento;Laranjeiras;2;1;0;63;2500.0;968.0;93.0;39.68253968253968;Apartamento
Apartamento;Laranjeiras;2;1;0;79;2300.0;780.0;118.0;29.11392405063291;Apartamento
Apartamento;Jardim Botânico;2;2;1;83;3500.0;1790.0;196.0;42.16867469879518;Apartamento
Apartamento;Vila Isabel;2;0;0;80;1700.0;450.0;60.0;21.25;Apartamento
Apartamento;Laranjeiras;4;2;1;270;5500.0;2750.0;420.0;20.37037037037037;Apartamento
Apartamento;São Conrado;3;2;1;157;6400.0;1792.0;460.0;40.76433121019108;Apartamento
Apartamento;Ipanema;3;1;2;108;5800.0;1735.0;368.0;53.7037037037037;Apartamento
